household_key,segment,segment_name,targeted,purchase_amount,purchase_count,cate_purchase,cate_visits,cate_primary
1,0,Unknown,1,636.01,12.0,-549.3934445235584,-40.60303366094121,-549.3934445235584
2,0,Unknown,1,417.34,7.0,-327.0925368261769,10.28771264349686,-327.0925368261769
3,0,Unknown,1,302.6,8.0,-39.19520091324773,-21.140948019705547,-39.19520091324773
4,0,Unknown,1,44.5,2.0,-19.909177191401568,-24.468560923991504,-19.909177191401568
6,0,Unknown,1,735.15,35.0,-1261.3083010817581,-91.78120179859951,-1261.3083010817581
7,0,Unknown,1,668.73,14.0,-630.7297184603824,-9.850637194241727,-630.7297184603824
8,0,Unknown,1,563.4,13.0,-789.0331964018841,-17.53323673231796,-789.0331964018841
13,0,Unknown,1,1802.12,34.0,-839.212990238831,-230.86118351808602,-839.212990238831
14,0,Unknown,1,627.97,32.0,-127.48542841612175,-8.538955505603013,-127.48542841612175
16,0,Unknown,1,167.82,11.0,-649.8984597034637,-25.241158303743887,-649.8984597034637
17,0,Unknown,1,850.83,22.0,492.08774974324206,-56.31964691036063,492.08774974324206
18,0,Unknown,1,973.12,20.0,-784.1696051443148,-101.80828249231706,-784.1696051443148
19,0,Unknown,1,2216.43,92.0,-1829.5331501949777,-64.46371127669707,-1829.5331501949777
20,0,Unknown,1,1359.9,70.0,-963.3427343384435,-107.81313927440195,-963.3427343384435
22,0,Unknown,1,611.88,11.0,-57.14811956260769,-18.260713122356947,-57.14811956260769
23,0,Unknown,1,166.17000000000002,9.0,-610.3916479210372,-36.358925771228286,-610.3916479210372
25,0,Unknown,1,415.14,11.0,-20.795480007916353,-29.347900787556128,-20.795480007916353
26,0,Unknown,1,187.27,11.0,-266.6367871127517,-7.227128374628421,-266.6367871127517
27,0,Unknown,1,376.12,23.0,490.6787915768907,9.794229998043086,490.6787915768907
28,0,Unknown,1,323.59000000000003,19.0,-448.3167412251877,-21.689681150987923,-448.3167412251877
29,0,Unknown,1,164.4,11.0,-174.47154235572384,-18.067358520719395,-174.47154235572384
32,0,Unknown,1,407.56,15.0,252.30337053192147,13.045437571112217,252.30337053192147
36,0,Unknown,1,862.46,33.0,-1258.3071034136738,-83.25075370859585,-1258.3071034136738
37,0,Unknown,1,280.73,5.0,-357.9816971740288,-68.12164563876858,-357.9816971740288
39,0,Unknown,1,551.9,7.0,-391.23333354993383,5.31787856576608,-391.23333354993383
40,0,Unknown,1,1341.67,46.0,-1988.5009301977457,-149.6803097695821,-1988.5009301977457
41,0,Unknown,1,559.4,12.0,-916.5243455656963,-82.41384309747923,-916.5243455656963
42,0,Unknown,1,314.57,15.0,-701.4867112384284,-56.86277265723945,-701.4867112384284
43,0,Unknown,1,91.76,14.0,154.58268864585358,2.2040949160531795,154.58268864585358
45,0,Unknown,1,14.280000000000001,1.0,221.35477844933746,-13.799015508351232,221.35477844933746
46,0,Unknown,1,1593.45,20.0,-782.4854140417874,-44.40255828092265,-782.4854140417874
47,0,Unknown,1,531.62,15.0,-382.6141366953936,-11.504117967637953,-382.6141366953936
48,0,Unknown,1,150.31,3.0,-104.4360062610507,-11.166030187910948,-104.4360062610507
49,0,Unknown,1,892.46,16.0,-876.206074611136,-56.704526296741676,-876.206074611136
51,0,Unknown,1,558.02,9.0,-126.29973603814483,-1.5124693150976043,-126.29973603814483
52,0,Unknown,1,840.77,23.0,-359.4810278718668,-1.059525091469169,-359.4810278718668
55,0,Unknown,1,116.97,20.0,-200.96724840426745,-45.49086413749049,-200.96724840426745
56,0,Unknown,1,1173.26,30.0,-1075.5564117474646,-60.23818391778312,-1075.5564117474646
57,0,Unknown,1,107.41,15.0,-492.62510656218626,-55.955434687009955,-492.62510656218626
58,0,Unknown,1,1661.67,38.0,-1309.9255848369883,-121.73801417996341,-1309.9255848369883
64,0,Unknown,1,422.39,31.0,-419.2074718302737,0.5738631096746474,-419.2074718302737
65,0,Unknown,1,417.3,24.0,-191.6144697403215,-17.4752036587971,-191.6144697403215
67,0,Unknown,1,829.15,17.0,-1148.1496322248167,-104.46955421718346,-1148.1496322248167
68,0,Unknown,1,531.77,50.0,-142.06372264145466,2.678868114303725,-142.06372264145466
69,0,Unknown,1,676.73,36.0,-786.776317871866,-17.450886397853623,-786.776317871866
71,0,Unknown,1,285.73,9.0,-723.0842966249356,-117.57071093563533,-723.0842966249356
72,0,Unknown,1,1029.94,10.0,-1533.6025336067942,-97.68065037591865,-1533.6025336067942
73,0,Unknown,1,631.64,32.0,-591.6811609436854,-22.563249499212077,-591.6811609436854
74,0,Unknown,1,368.58,19.0,-964.1583581261639,-53.182138107600224,-964.1583581261639
77,0,Unknown,1,1036.8,12.0,-1556.5890522740024,-61.43733413878772,-1556.5890522740024
78,0,Unknown,1,203.86,28.0,-485.0419377812805,-16.718964581119906,-485.0419377812805
79,0,Unknown,1,603.45,15.0,-1239.3291665662455,-70.08562814947149,-1239.3291665662455
80,0,Unknown,1,584.6,13.0,-386.2967788460011,11.093623013008369,-386.2967788460011
81,0,Unknown,1,462.51,14.0,-1752.4525735592783,-104.79574457221634,-1752.4525735592783
85,0,Unknown,1,675.89,38.0,-416.5247787997883,-37.29862110104776,-416.5247787997883
86,0,Unknown,1,914.91,10.0,-522.8374985333085,-22.632635613990743,-522.8374985333085
88,0,Unknown,1,1697.23,28.0,-1898.9352047851858,-107.4479754705705,-1898.9352047851858
91,0,Unknown,1,706.44,41.0,-454.28302470325434,-5.165206888271584,-454.28302470325434
92,0,Unknown,1,41.49,1.0,-283.2460215849203,6.281424461925823,-283.2460215849203
93,0,Unknown,1,623.48,20.0,-246.51550918402552,-21.902091624630714,-246.51550918402552
95,0,Unknown,1,908.34,26.0,-1683.1686499755588,-44.59169921421673,-1683.1686499755588
96,0,Unknown,1,196.47,8.0,81.40750944345007,2.34371895150403,81.40750944345007
97,0,Unknown,1,738.32,32.0,-978.6215545285814,-29.641289045302358,-978.6215545285814
98,0,Unknown,1,220.78,11.0,-386.4877249634225,9.790914380365493,-386.4877249634225
99,0,Unknown,1,681.09,31.0,-1782.545514674511,-83.37668592720053,-1782.545514674511
101,0,Unknown,1,1026.65,28.0,-1023.9298199282046,-105.28663088720191,-1023.9298199282046
103,0,Unknown,1,62.31,4.0,191.66806957129506,10.021164359860933,191.66806957129506
104,0,Unknown,1,339.32,11.0,-1061.0804196951954,-31.848715337307567,-1061.0804196951954
105,0,Unknown,1,551.37,11.0,-370.3425988009683,17.218126369222972,-370.3425988009683
108,0,Unknown,1,83.65,6.0,-244.37751737433643,-5.654622587880141,-244.37751737433643
109,0,Unknown,1,708.85,21.0,-527.2743534843737,7.304060836914715,-527.2743534843737
110,0,Unknown,1,297.59000000000003,24.0,-816.0659805959405,-15.62539619629274,-816.0659805959405
111,0,Unknown,1,80.82,4.0,-522.5059492088859,14.69234851469838,-522.5059492088859
112,0,Unknown,1,130.55,8.0,40.226851279274115,-14.030700257169244,40.226851279274115
113,0,Unknown,1,1782.82,31.0,-1808.4102744278796,-210.77711466350019,-1808.4102744278796
114,0,Unknown,1,326.5,8.0,26.82798628677017,6.110402862650346,26.82798628677017
115,0,Unknown,1,1671.92,28.0,-1301.870690923826,-198.76025954583304,-1301.870690923826
116,0,Unknown,1,90.18,8.0,-742.9780716053771,1.9099315728131785,-742.9780716053771
117,0,Unknown,1,333.94,12.0,-59.92240839607041,20.753505854137714,-59.92240839607041
118,0,Unknown,1,535.25,13.0,-433.41950303715976,-54.52909680721535,-433.41950303715976
119,0,Unknown,1,475.26,11.0,101.66342330895543,21.549755524910324,101.66342330895543
121,0,Unknown,1,499.25,30.0,-170.60770642930123,19.463414096151723,-170.60770642930123
122,0,Unknown,1,194.64000000000001,15.0,-388.93640061361566,-23.327566502440675,-388.93640061361566
123,0,Unknown,1,413.04,19.0,-1057.5570631054989,-51.69167775665048,-1057.5570631054989
125,0,Unknown,1,1526.11,43.0,-253.58101930081682,-53.56963153745562,-253.58101930081682
127,0,Unknown,1,942.3000000000001,33.0,-788.397025519218,-24.065037403100035,-788.397025519218
131,0,Unknown,1,583.85,42.0,-609.519778376414,-16.417669409946,-609.519778376414
132,0,Unknown,1,464.40000000000003,18.0,-166.86111739976445,2.2325182865794773,-166.86111739976445
133,0,Unknown,1,645.2,10.0,-569.0854706623227,-26.352761681485475,-569.0854706623227
134,0,Unknown,1,744.25,11.0,-19.432973530056643,-15.403734756986466,-19.432973530056643
136,0,Unknown,1,714.52,20.0,-321.9712068888281,18.018311233191042,-321.9712068888281
137,0,Unknown,1,55.15,5.0,-139.25929515845672,-2.265155038480998,-139.25929515845672
139,0,Unknown,1,567.6,14.0,-310.29996627294133,-13.799022171973434,-310.29996627294133
140,0,Unknown,1,31.7,5.0,268.6859906319884,13.94287511301549,268.6859906319884
142,0,Unknown,1,251.6,22.0,-309.0509470747805,-23.257495915342645,-309.0509470747805
143,0,Unknown,1,1263.84,83.0,-1788.1794782057473,-82.40908216996877,-1788.1794782057473
144,0,Unknown,1,265.09,13.0,-436.7245789192922,-19.239391136992296,-436.7245789192922
149,0,Unknown,1,2130.61,38.0,-78.79613041770858,-39.76812302182617,-78.79613041770858
151,0,Unknown,1,0.0,0.0,-189.96469174525083,-5.644089076390941,-189.96469174525083
155,0,Unknown,1,318.06,5.0,-341.68192058048953,-28.34446577794894,-341.68192058048953
156,0,Unknown,1,481.7,94.0,-1974.9905888448995,-60.04017241118791,-1974.9905888448995
157,0,Unknown,1,156.97,13.0,-908.5407321451378,-25.121259354198116,-908.5407321451378
158,0,Unknown,1,364.69,29.0,87.4710201516043,-38.7416642632038,87.4710201516043
161,0,Unknown,1,1340.52,60.0,-563.5941661943076,-39.965603860969054,-563.5941661943076
162,0,Unknown,1,315.08,10.0,-232.71283989587425,3.9820668759125795,-232.71283989587425
164,0,Unknown,1,668.14,10.0,-783.464800274057,1.1165604521306136,-783.464800274057
165,0,Unknown,1,324.59,20.0,-188.10026706073143,12.092198140578276,-188.10026706073143
166,0,Unknown,1,548.41,17.0,-596.380358600172,-55.2361585342974,-596.380358600172
179,0,Unknown,1,95.60000000000001,7.0,-85.30222025153728,-18.002504953411147,-85.30222025153728
180,0,Unknown,1,80.72,7.0,-290.8937490215236,-14.454826128432586,-290.8937490215236
181,0,Unknown,1,0.0,0.0,161.17965580290763,1.7870251305932072,161.17965580290763
183,0,Unknown,1,70.09,7.0,-284.4315707484225,-10.974410858314556,-284.4315707484225
184,0,Unknown,1,1250.1,42.0,-1047.9429201572516,-100.84859738877725,-1047.9429201572516
185,0,Unknown,1,269.62,5.0,121.63448970527747,-0.08679436191950174,121.63448970527747
187,0,Unknown,1,30.54,4.0,127.36923651840772,10.35284039431373,127.36923651840772
188,0,Unknown,1,0.0,0.0,-612.2674010974165,-5.3091505098219045,-612.2674010974165
192,0,Unknown,1,479.59000000000003,13.0,-288.84004788282385,-17.14133873540068,-288.84004788282385
