policy,n_targeted,pct_targeted,incremental_sales,revenue,cost,profit,roi,roi_pct
CATE > Breakeven,152,31.275720164609055,14536.909929595107,4361.072978878532,1934.96,2426.112978878532,1.2538310760318208,125.38310760318208
Top 30% CATE,145,29.835390946502056,14229.77053004075,4268.931159012225,1845.8500000000001,2423.081159012225,1.3127183460260718,131.27183460260719
Top 40% CATE,194,39.91769547325103,16091.812072291257,4827.543621687377,2469.62,2357.923621687377,0.954771836026343,95.4771836026343
Top 20% CATE,97,19.958847736625515,11647.21521399499,3494.164564198497,1234.81,2259.354564198497,1.8297183892246556,182.97183892246557
Top 50% CATE,243,50.0,17383.772616592905,5215.131784977872,3093.3900000000003,2121.7417849778712,0.6858953397333899,68.58953397333899
Top 10% CATE,48,9.876543209876543,7866.577420627951,2359.973226188385,611.04,1748.933226188385,2.8622237925313976,286.22237925313976
PolicyTree (Tuned),130,26.74897119341564,11130.153099699817,3339.0459299099452,1654.9,1684.1459299099452,1.0176723245573418,101.76723245573417
Risk-Adjusted (30%),54,11.11111111111111,7633.349257106686,2290.004777132006,687.4200000000001,1602.584777132006,2.3313036820750135,233.13036820750136
CATE > 0,314,64.60905349794238,18146.344104725642,5443.903231417692,3997.2200000000003,1446.6832314176918,0.3619223438834219,36.19223438834219
Risk-Adjusted (50%),24,4.938271604938271,4400.8568911913135,1320.257067357394,305.52,1014.7370673573939,3.321344158671753,332.1344158671753
Risk-Adjusted (70%),12,2.4691358024691357,2813.47352982554,844.042058947662,152.76,691.282058947662,4.525281873184485,452.52818731844854
Conservative (Lower > BE),3,0.6172839506172839,755.4686366330977,226.6405909899293,38.19,188.4505909899293,4.934553312121742,493.4553312121742
No Targeting,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATE Rule Tree (Tuned),328,67.48971193415639,13486.264992799035,4045.8794978397104,4175.4400000000005,-129.56050216029007,-0.031029185465553343,-3.102918546555334
Current Practice,302,62.139917695473244,1474.225094746138,442.2675284238414,3844.46,-3402.192471576159,-0.8849597788964273,-88.49597788964273
DRPolicyTree (Tuned),333,68.51851851851852,-819.7199035748162,-245.91597107244485,4239.09,-4485.005971072445,-1.0580115003626829,-105.80115003626828
Full Targeting,486,100.0,5091.795160602155,1527.5385481806466,6186.780000000001,-4659.241451819355,-0.7530963525160672,-75.30963525160672
