pct_targeted,n_targeted,incremental_sales,revenue,cost,profit,roi
5,121,81550.54131869008,24465.162395607025,121.0,24344.162395607025,201.19142475708284
10,243,121383.71286376407,36415.11385912922,243.0,36172.11385912922,148.8564356342766
15,364,145198.29235133325,43559.48770539997,364.0,43195.48770539997,118.66892226758235
20,486,156691.82807594188,47007.548422782565,486.0,46521.548422782565,95.72335066416166
25,607,158074.0084107229,47422.20252321687,607.0,46815.20252321687,77.12553957696353
30,729,150669.8824043845,45200.964721315344,729.0,44471.964721315344,61.00406683308003
35,850,135143.2313386583,40542.96940159749,850.0,39692.96940159749,46.697611060702926
40,972,110825.93435143429,33247.780305430286,972.0,32275.780305430286,33.20553529365256
45,1093,79067.2574732179,23720.17724196537,1093.0,22627.17724196537,20.70190049585121
50,1215,38550.97805888941,11565.293417666822,1215.0,10350.293417666822,8.518760014540595
55,1336,-10434.165904341673,-3130.249771302502,1336.0,-4466.249771302502,-3.3430013258252265
60,1458,-69974.4692741236,-20992.340782237083,1458.0,-22450.340782237083,-15.398038945292924
65,1579,-138389.2384462328,-41516.77153386984,1579.0,-43095.77153386984,-27.293078868821937
70,1701,-217280.50881779744,-65184.15264533923,1701.0,-66885.15264533923,-39.3210773929096
75,1822,-306542.6073550067,-91962.782206502,1822.0,-93784.782206502,-51.47353578842042
80,1944,-409392.6913230983,-122817.8073969295,1944.0,-124761.8073969295,-64.1778844634411
85,2065,-529659.0182885719,-158897.70548657156,2065.0,-160962.70548657156,-77.94804139785548
90,2187,-683724.8258121485,-205117.44774364456,2187.0,-207304.44774364456,-94.78941369165275
95,2308,-890724.3654111449,-267217.30962334346,2308.0,-269525.30962334346,-116.77873033940358
100,2430,-1319215.9095044807,-395764.7728513442,2430.0,-398194.7728513442,-163.86616166721984
